antwann_jones,unc_greensboro,sc,6,86,747,189,375,3835,75,181,64,258,1,2,05,3,10,03,21,61,0333,22,23,125,sr,6-6,0,-0673247,7331,41,2026,65925,"orlando,_fl",790,050005835,24,5,11,51,04000,02000,01,02,unnamed:_44,unnamed:_45,115978,115364,0671435,109915,-836032,-674231,-161801,-899655,114857,-535942,-363713,05714,15714,21429,04286,02857,01429,34286,wing_f,580649,1999-05-29
Elijah Elliott,New Mexico St.,CUSA,14,49.1,115.1,26.6,52.1,54.89,1.2,9.7,24.0,11.4,25,35,0.714,25,55,0.455,25,65,0.385,0.9,2.0,29.2,Sr,6-1,11,2.14833,124.982,3.5,2026,67572,"Houston, TX",,1.77777778,11.0,17.0,14.0,38.0,0.6471,0.3684,0.0,0.0,,,109.079,109.268,1.78408,42.8052,2.49502,4.21663,-1.72161,4.46515,18.8062,5.1076,-0.642443,0.1875,1.5625,1.75,2.0,0.75,0.125,9.875,Scoring PG,14.0969,1999-10-15
Doctor Bradley,Bethune Cookman,SWAC,4,10.8,94.9,27.8,43.5,47.54,9.2,23.4,27.3,19.1,10,18,0.556,10,22,0.455,0,1,0.0,4.1,3.0,78.3,Sr,6-8,13,0.34147,98.886,4.8,2026,70326,"Los Angeles, CA",,1.42857143,10.0,18.0,0.0,4.0,0.5556,0.0,1.0,1.0,1.0,,109.254,119.776,0.985042,16.7512,0.810584,-1.58072,2.3913,0.495637,18.675,-1.15696,1.65259,1.5,3.75,5.25,2.5,1.0,0.75,7.5,PF/C,0.760825,2000-10-15
Rahmir Moore,Delaware St.,MEAC,10,24.7,83.5,18.5,32.1,39.56,3.7,10.5,6.0,10.7,13,18,0.722,9,29,0.31,3,13,0.231,0.0,2.4,42.9,Sr,6-2,0,-0.684263,80.2616,2.7,2026,70501,"Philadelphia, PA",,1.83317779,5.0,13.0,4.0,16.0,0.3846,0.25,0.0,0.0,,,109.664,114.109,1.10722,23.0742,-7.93189,-5.95455,-1.97734,-7.81645,16.2643,-5.63069,-2.18576,0.8571,1.1429,2.0,0.7857,0.5,0.0,4.9286,Wing G,5.14609,2000-07-26
Alex Hemenway,Evansville,MVC,18,60.9,94.6,14.5,44.3,48.61,1.0,7.6,6.6,12.7,22,28,0.786,6,21,0.286,27,84,0.321,0.8,1.2,26.7,Sr,6-4,12,-0.330592,89.5389,2.9,2026,70621,"Newburgh, IN",24.0,1.14285718,4.0,15.0,2.0,6.0,0.2667,0.3333,0.0,0.0,,,114.752,112.513,1.938,62.2713,-3.04008,-2.04655,-0.993531,-3.40972,23.67,-2.29383,-1.11589,0.3,1.5,1.8,0.8,0.45,0.15,6.8,Combo G,11.0319,2001-06-17
Addison Patterson,Eastern Michigan,MAC,18,73.4,115.1,21.7,59.2,60.33,6.3,14.0,18.7,16.4,24,35,0.686,85,134,0.634,12,40,0.3,1.4,1.9,20.1,Sr,6-7,9,2.42048,117.2,3.0,2026,70754,"Mississauga, Canada",,1.56252216,67.0,97.0,18.0,37.0,0.6907,0.4865,18.0,20.0,0.9,,106.404,105.945,3.00737,93.8947,3.43115,2.2139,1.21725,3.66859,28.7,3.02601,0.642572,1.6842,3.6842,5.3684,2.6316,0.8947,0.3684,12.7895,Wing G,4.44185,2001-06-09
Rienk Mast,Nebraska,B10,18,69.7,117.4,27.0,56.6,59.71,9.2,15.3,20.0,15.1,41,50,0.82,66,111,0.595,33,93,0.355,1.6,1.0,24.5,Sr,6-10,51,3.57717,130.409,2.4,2026,70772,"Groningen, Netherlands",,1.48575402,41.0,54.0,25.0,57.0,0.7593,0.4386,0.0,0.0,,,97.3914,93.7257,4.03884,92.6937,7.19207,4.67534,2.51673,7.30453,27.8944,5.77,1.53453,2.1667,4.0,6.1667,2.8889,0.5,0.3333,15.1111,Stretch 4,10.8326,2001-07-19
Rick Issanza,Loyola Marymount,WCC,19,32.7,111.1,10.9,61.8,57.04,11.2,13.9,3.4,17.9,6,17,0.353,21,33,0.636,0,1,0.0,10.5,0.4,50.0,Sr,7-1,22,0.21139,97.8875,6.0,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.55555557,18.0,26.0,3.0,7.0,0.6923,0.4286,13.0,16.0,0.8125,,102.131,99.4052,1.7179,50.9904,2.67408,-3.20962,5.8837,-0.0674697,13.875,-3.4589,3.39143,1.35,1.75,3.1,0.25,0.15,1.35,2.6,C,0.217326,2000-10-15
Steele Venters,Gonzaga,WCC,20,40.9,122.7,14.6,60.4,62.35,1.4,7.7,9.9,17.1,10,11,0.909,7,12,0.583,32,79,0.405,0.7,2.5,12.1,Sr,6-7,2,1.32323,116.75,3.5,2026,70941,"Ellensburg, WA",,1.60000006,6.0,8.0,1.0,4.0,0.75,0.25,2.0,2.0,1.0,,94.736,91.9062,2.47322,61.5652,5.92513,3.55631,2.36882,5.53788,16.47,2.69562,2.84226,0.2,1.25,1.45,1.2,0.75,0.1,6.0,Wing G,13.1343,2001-05-16
Micah Thomas,Northwestern St.,Slnd,17,71.5,107.8,30.5,49.3,57.28,1.3,5.6,23.2,16.5,79,84,0.94,62,132,0.47,27,76,0.355,0.7,1.4,40.4,Sr,6-0,5,2.8557,122.226,2.6,2026,70961,"Oklahoma City, OK",,1.24389449,20.0,40.0,42.0,92.0,0.5,0.4565,0.0,0.0,,,122.985,124.524,1.08452,58.1268,-3.78489,1.70262,-5.48751,-0.862364,28.1789,3.48399,-4.34636,0.3158,1.2632,1.5789,2.6842,0.8947,0.1579,16.8947,Scoring PG,9.31839,2000-10-15
Rashaun Agee,Texas A&M,SEC,18,59.6,125.3,23.6,54.2,59.66,12.2,27.4,13.3,10.9,71,95,0.747,74,120,0.617,7,36,0.194,4.0,2.3,60.9,Sr,6-7,12,3.02326,130.003,4.0,2026,71003,"Chicago, IL",,1.57135509,61.0,93.0,13.0,27.0,0.6559,0.4815,11.0,12.0,0.9167,,96.825,94.4389,3.39233,108.227,7.80746,3.58875,4.21871,7.43753,24.3333,5.13928,2.29825,2.6667,6.0556,8.7222,1.8333,1.0556,0.8333,13.3333,PF/C,4.3857,2000-11-02
Tyler Cochran,Rhode Island,A10,18,72.9,104.9,23.5,44.8,50.07,5.2,16.8,12.4,14.1,54,73,0.74,52,107,0.486,20,76,0.263,1.0,6.3,39.9,Sr,6-2,23,1.41174,107.406,3.4,2026,71025,"Bolingbrook, IL",,1.10346969,44.0,83.0,8.0,24.0,0.5301,0.3333,0.0,0.0,,,92.7568,92.6814,4.32707,127.75,4.44856,0.379226,4.06933,4.65798,29.1556,0.263344,4.39464,1.2222,4.0,5.2222,1.7778,3.0556,0.2222,12.1111,Combo G,8.69823,2000-10-15
Curt Lewis,Southern Miss,SB,18,68.8,111.0,11.4,52.0,53.38,2.9,9.8,6.8,13.0,10,14,0.714,8,23,0.348,30,79,0.38,1.5,2.3,13.7,Sr,6-5,1,0.264016,96.2163,2.5,2026,71299,"Louisville, KY",,1.43749995,5.0,11.0,3.0,12.0,0.4545,0.25,1.0,1.0,1.0,,109.242,111.163,2.31971,82.2351,0.754775,-0.0178551,0.77263,0.215892,26.67,-0.246578,0.46247,0.65,2.25,2.9,1.15,1.05,0.3,6.45,Wing G,9.04741,2000-10-15
