rk,team,conf,rec,adjoe,oe_rank,adjde,de_rank,barthag,rank1,proj_w,proj_l,pro_con_w,pro_con_l,con_rec,sos,ncsos,consos,proj_sos,proj_noncon_sos,proj_con_sos,elite_sos,elite_noncon_sos,opp_oe,opp_de,opp_proj_oe,opp_proj_de,con_adj_oe,con_adj_de,qual_o,qual_d,qual_barthag,qual_games,fun,conpf,conpa,conposs,conoe,conde,consosremain,conf_winpct,wab,wab_rk,fun_rk,adjt,team_key
1,Michigan,B10,25-2,129.09391248805258,4,91.66843191370783,2,0.98086965733926,1,28.013337958201408,2.9866620417985925,18.013337958201408,1.986662041798592,15-1,0.7668960582509826,0.7310678103703296,0.7915279786689314,0.7838372828615154,0.7310678103703296,0.8128604927316678,0.6150718692524749,0.6681251872180726,117.84968651522786,103.654673227706,118.5406985173134,103.04524109162698,128.87939008310985,93.8748460411118,128.8217033686629,88.59226245943869,0.9866845449556912,16.0,0.0454096977213009,1397.0,1133.0,1133.1625,1.2328328902518393,0.9998565960310192,0.8981905489826127,0.9375,10.01395195445814,1,81,71.86031719734623,michigan
2,Arizona,B12,25-2,125.64620898495664,13,91.4990985738832,1,0.9745961186085348,2,28.30574355181588,2.694256448184122,15.305743551815878,2.694256448184122,12-2,0.6994859137908547,0.5709270541005081,0.8188619977890335,0.7215530360859242,0.5709270541005081,0.8303384675198356,0.6416127643169982,0.7264416240286771,116.43935427135555,104.8524600238566,117.02225940181404,104.39836742176436,125.29589021136508,90.64486410015554,124.48608834536296,89.80112370238005,0.9771538060480645,15.0,0.0794727038901046,1180.0,988.0,1010.025,1.168287913665503,0.9781936090690824,0.8705061115776432,0.8571428571428571,9.20948141115272,3,29,70.5724535906826,arizona
3,Duke,ACC,25-2,126.53140756881794,9,92.78586025825734,4,0.9725420462551784,3,28.24390686020764,2.7560931397923603,16.243906860207638,1.7560931397923605,13-1,0.704666884314561,0.6286772424767417,0.7752286945925361,0.7259380614585856,0.6286772424767417,0.7961819862788063,0.6267004627671753,0.6319163243814909,116.41595129440805,104.32052513062104,116.98508166694992,103.9472682874888,126.69955967952536,93.53635793063955,124.35430115142454,90.56483406478624,0.974575551873866,15.0,0.093306155471257,1111.0,891.0,913.0499999999998,1.216800832375007,0.975850172498768,0.8695185071807524,0.9285714285714286,9.760058867887505,2,16,65.7735403704559,duke
4,Houston,B12,23-4,127.55180536061648,6,93.53604738589678,6,0.9725357208533116,4,26.3437177904266,4.6562822095734,14.3437177904266,3.6562822095734,11-3,0.6916713348311094,0.5340540135750439,0.838030275997456,0.7032670610570716,0.5340540135750438,0.8254764842385359,0.667085453856073,0.7945834862750545,115.57240379099932,105.10558968190465,115.95059808183164,104.98707558206452,129.10274882247947,92.87505102116044,130.62666018171936,97.69311891091276,0.9658052595019178,12.0,-0.0010959359455435,1067.0,895.0,896.3,1.190449626241214,0.998549592770278,0.7815382130823157,0.7857142857142857,6.8931690380225135,6,185,62.96662704711895,houston
5,Florida,SEC,21-6,125.54781726203764,14,92.3925692603566,3,0.9714286027954172,5,24.264110664237,6.735889335762998,15.264110664237,2.735889335762999,12-2,0.7298795022575573,0.6186806362735534,0.8331355920998467,0.7445515500733796,0.6186806362735534,0.8354583211510318,0.6355161171581966,0.69805449171924,118.10288112338388,105.51875481675368,118.67882662157082,105.3720160181564,127.15469958968902,91.00480186194444,126.13223057957076,93.06672144631068,0.9705783847844812,14.0,-0.0566183876433334,1226.0,1008.0,1011.3,1.212300998714526,0.9967368733313556,0.8435878728301801,0.8571428571428571,5.731247913948554,13,305,70.28477986900891,florida
6,Illinois,B10,22-6,133.94758332851555,1,98.83529193550038,27,0.970571708643122,6,24.424569599392544,6.575430400607453,15.424569599392546,4.575430400607453,13-4,0.7230394667819028,0.5787419376606822,0.8164084562132807,0.7264332311202039,0.5787419376606824,0.8076634425229405,0.6316011595777382,0.7250402566475912,117.22755149653524,104.38721201245946,117.26814930739552,104.17297510646203,134.86475706490742,99.58476236633408,134.89237373412547,100.00256327064471,0.9689837391724404,16.0,-0.0354636523557911,1405.0,1206.0,1116.3125,1.2586081406416214,1.0803426459884664,0.7581083649443471,0.7647058823529411,6.424434619341036,9,263,65.37641462366645,illinois
7,Purdue,B10,22-5,131.2462270004557,2,98.73890134899744,26,0.963485771223636,7,25.05969024239448,5.940309757605517,15.05969024239448,4.940309757605517,12-4,0.7419201691681913,0.6275508469898855,0.8205490781657767,0.7598523052939254,0.6275508469898855,0.8326181073611478,0.6172290367756854,0.7232264886706727,117.8089511619034,104.08955825919632,118.28335569413724,103.7735893892967,131.22267106091178,98.57267038922558,131.54786825938632,96.47812671211396,0.9724984627110292,14.0,0.0202099005992699,1285.0,1134.0,1053.2875,1.2199897938597013,1.0766291254761875,0.8808942241426322,0.75,7.124425119727664,5,132,65.12877484383726,purdue
8,Iowa St.,B12,23-4,125.03473087205776,16,95.44210636894044,10,0.9571323627685542,8,25.70804100688877,5.291958993111231,12.708041006888768,5.291958993111231,10-4,0.6453732539644627,0.4643654007734455,0.8134519747846932,0.6711710586974049,0.4643654007734455,0.8205307005313759,0.6751028202926509,0.7962369464421322,113.45513807023308,105.4481954216356,114.46513009272512,104.85317992394022,123.39974412522372,94.92080978156494,119.57105276956044,96.06798548184518,0.9253131747226306,10.0,0.0341317220562074,1069.0,942.0,927.9625,1.1519862063391573,1.015127227662756,0.845306240644765,0.7142857142857143,6.083961741385845,10,105,67.1078931157406,iowa state
9,Connecticut,BE,25-3,124.27180131951204,20,95.70031129322447,13,0.9527711569935416,9,27.468552192530822,3.531447807469178,17.468552192530822,2.531447807469178,15-2,0.6942258519005311,0.5894781222380231,0.76200379462333,0.7041965895169051,0.5894781222380231,0.76729174652029,0.6723575394826414,0.6429637683363774,115.75407242207449,105.2677861984054,115.49577375270182,104.70209144327993,123.22036103577352,95.88094843333003,123.7790557259151,94.43327033710356,0.9573831613587914,12.0,0.1056361675939995,1349.0,1168.0,1147.4,1.1757015861948754,1.017953634303643,0.7972568072697296,0.8823529411764706,8.298190645006626,4,10,65.21418182600534,connecticut
10,Texas Tech,B12,20-7,126.03551179369126,11,98.20236267989566,22,0.946324784078162,10,22.52361119997923,8.476388800020771,12.52361119997923,5.4763888000207706,10-4,0.7291007892358529,0.6399304437992674,0.8119018242841107,0.7468987465267128,0.6399304437992674,0.8241536318298677,0.6180318164914256,0.6926514248321134,118.50256433748312,104.66009620920345,118.5849688447714,103.88091713181498,126.1912994311558,95.85398920929671,124.95109399867324,99.18859253484185,0.9343395466636004,13.0,0.0111428734641054,1128.0,1002.0,957.3625,1.1782370836543106,1.046625494522712,0.867034958240017,0.7142857142857143,4.798825166990558,16,146,67.04763176222568,texas tech
