date,game_id,home_team,away_team,home_score,away_score,home_win
20260121,401825460,Illinois Fighting Illini,Maryland Terrapins,0,0,
20260121,401820687,North Carolina Tar Heels,Notre Dame Fighting Irish,0,0,
20260121,401827637,Arizona Wildcats,Cincinnati Bearcats,0,0,
20260121,401825461,Nebraska Cornhuskers,Washington Huskies,0,0,
20260121,401829210,Gonzaga Bulldogs,Pepperdine Waves,0,0,
20260120,401825456,Michigan Wolverines,Indiana Hoosiers,86,72,True
20260120,401825459,UCLA Bruins,Purdue Boilermakers,69,67,True
20260120,401827634,Iowa State Cyclones,UCF Knights,87,57,True
20260120,401825458,Oregon Ducks,Michigan State Spartans,52,68,False
20260120,401827632,Baylor Bears,Texas Tech Red Raiders,73,92,False
20260120,401808188,Arkansas Razorbacks,Vanderbilt Commodores,93,68,True
20260120,401808189,Florida Gators,LSU Tigers,79,61,True
20260120,401820685,Clemson Tigers,NC State Wolfpack,76,80,False
20260120,401827633,Colorado Buffaloes,Kansas Jayhawks,69,75,False
20260120,401808190,Missouri Tigers,Georgia Bulldogs,72,74,False
20260120,401828382,Duquesne Dukes,Saint Louis Billikens,77,81,False
20260120,401814531,Kent State Golden Flashes,Miami (OH) RedHawks,101,107,False
20260119,401812018,Monmouth Hawks,Northeastern Huskies,81,68,True
20260119,401812391,Saint Francis Red Flash,Stonehill Skyhawks,63,61,True
20260119,401812125,UAlbany Great Danes,Vermont Catamounts,75,68,True
20260119,401812019,Towson Tigers,Drexel Dragons,59,58,True
20260119,401823848,Saint Peter's Peacocks,Iona Gaels,77,63,True
20260119,401823732,Rider Broncs,Sacred Heart Pioneers,85,105,False
20260119,401818559,Brown Bears,Cornell Big Red,67,89,False
20260119,401818310,Yale Bulldogs,Columbia Lions,91,74,True
20260119,401813426,Siena Saints,Fairfield Stags,85,77,True
20260119,401813387,Niagara Purple Eagles,Mount St. Mary's Mountaineers,58,68,False
20260119,401813334,Marist Red Foxes,Merrimack Warriors,55,68,False
20260119,401813313,Quinnipiac Bobcats,Manhattan Jaspers,98,92,True
